_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
62404,NONE,Child play area,YES,NO,YES,YES,NO,0 indoor parking spots and 12 outdoor parking spots,4.0,56.0,"AUG 16, 2015",PLAY STRUCTURE WITH SLIDE,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,NORTH SIDE OF BUILDING,ORIGINAL,1964.0,HOT WATER,NO,YES,NO,YES,YES,8 AM TO 10 PM,BASEMENT,NO,0.0,0.0,1.0,7.0,NO,YES,Surface Parking,M3C,AS PER LEASING AGREEMENT,YES,,PRIVATE,NORTH SIDE OF BUILDING,4156610.0,NO,YES,NO,32  ST DENNIS DR ,YES,YES,1964.0,YES,FREE,16,DOUBLE PANE,1964.0,2009.0,2017.0,,,,,,,,
62405,CENTRAL AIR,"Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,25 indoor parking spots and 0 outdoor parking spots,22.0,332.0,"FEB 2, 2016",,,BBQ PATIO AREA,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,2010.0,HOT WATER,YES,YES,NO,YES,NO,,,YES,40.0,4.0,3.0,,NO,NO,"Underground Garage , Garage accessible thru buildg",,,YES,KG GROUP,PRIVATE,P1 AND P2,4156614.0,NO,YES,NO,105  HARRISON GARDEN BLVD ,YES,YES,2010.0,YES,FREE,18,DOUBLE PANE,2010.0,,2017.0,,,,,,,,
62406,NONE,,YES,YES,YES,YES,YES,Not Available,14.0,175.0,"DEC 12, 2012",,,,ELEVATOR MECHANICAL RETROFIT,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2006.0,HOT WATER,NO,YES,YES,YES,YES,9 AM TO 10 PM,FIRST FLOOR,YES,0.0,2.0,3.0,18.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M1W,,YES,PARK PROPERTY MANAGEMENT INC,PRIVATE,BACK OF BUILDING,4156624.0,NO,YES,NO,20  AURORA CRT ,YES,YES,1974.0,NO,FREE,22,SINGLE PANE,1974.0,2009.0,2017.0,,,,,,,,
62407,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 8 outdoor parking spots,4.0,86.0,"DEC 15, 2016",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,NO,WEST SIDE OF THE BUIDLING,REPLACED,2009.0,HOT WATER,YES,YES,NO,YES,YES,9AM - 10:30PM,BASEMENT ,YES,0.0,0.0,1.0,8.0,NO,YES,Underground Garage,M4P,,YES,RPMS,PRIVATE,WEST SIDE OF THE BUILDING,4153840.0,NO,YES,NO,124  BROADWAY AVE ,YES,YES,1956.0,YES,UNAVAILABLE,15,DOUBLE PANE,1956.0,,2017.0,,,,,,,,
62408,CENTRAL AIR,"Indoor recreation room , Indoor exercise room",YES,YES,YES,NO,YES,1 indoor parking spots and 1 outdoor parking spots,13.0,155.0,"SEP 29, 2016",,"WEIGHTS, TREADMILL, BIKE ",,,ORIGINAL,YES,YES,Green Bin / Organics,YES,YES,BASEMENT,ORIGINAL,2010.0,FORCED AIR GAS,NO,YES,YES,YES,YES,24 HR ,GROUND LEVEL,YES,2.0,2.0,2.0,24.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M4P,,YES,,PRIVATE,BASEMENT,4153847.0,NO,YES,NO,1000  MOUNT PLEASANT RD ,YES,YES,2010.0,YES,PAID,15,THERMAL,2010.0,,2017.0,,,,,,,,
62409,NONE,,YES,YES,YES,NO,NO,0 indoor parking spots and 5 outdoor parking spots,3.0,34.0,,,,,,,,NO,Recycling bins,YES,NO,,ORIGINAL,1960.0,HOT WATER,NO,YES,NO,NO,YES,8AM TO 8PM,BASEMENT,YES,0.0,15.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M4K,DOG,NO,GOLDEN EQUITY PROPERTIES,PRIVATE,SIDE OF THE BUILDING,4154108.0,NO,NO,NO,15  BATER AVE ,YES,YES,1960.0,,UNAVAILABLE,14,DOUBLE PANE,1960.0,,2017.0,,,,,,,,
62410,NONE,,YES,YES,YES,YES,YES,Not Available,22.0,129.0,"FEB 19, 2014",,,,MODERNIZATION ,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2017.0,HOT WATER,NO,YES,NO,YES,YES,24/7,GROUND FLOOR,YES,129.0,1.0,2.0,14.0,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4K,,YES,GREENWIN INC.,PRIVATE,EAST SIDE OF PROPERTY,4154111.0,NO,YES,NO,25  COSBURN AVE ,YES,YES,1962.0,YES,UNAVAILABLE,14,DOUBLE PANE,1962.0,2011.0,2017.0,,,,,,,,
62411,NONE,,YES,YES,YES,YES,YES,Not Available,12.0,155.0,"JAN 23, 2014",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTDOOR,ORIGINAL,1973.0,HOT WATER,YES,YES,NO,YES,YES,8AM-10PM,GROUND FLOOR,YES,155.0,0.0,2.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M4K,,YES,ENDERBY DEVELOPMENTS LIMITED,PRIVATE,OUTOOORS,4154112.0,NO,NO,NO,55  COSBURN AVE ,YES,YES,1973.0,YES,UNAVAILABLE,14,DOUBLE PANE,1973.0,2005.0,2017.0,,,,,,,,
62412,NONE,,YES,YES,YES,YES,NO,Not Available,11.0,86.0,"DEC 1, 2017",,,,COMPLETE RETROFIT,REPLACED,,NO,Recycling bins,YES,NO,,REPLACED,2012.0,HOT WATER,NO,YES,NO,NO,YES,9 TO 9,MAIN FLOOR,NO,0.0,0.0,2.0,6.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M4K,,YES,GREENWIN INC.,PRIVATE,SIDE,4154114.0,NO,YES,NO,91  COSBURN AVE ,YES,YES,2007.0,YES,UNAVAILABLE,14,DOUBLE PANE,1986.0,2017.0,2018.0,,,,,,,,
62413,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,60.0,"APR 30, 2015",,,,,ORIGINAL,,NO,Recycling bins,YES,YES,,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,8AM - 10PM,BASEMENT,YES,0.0,1.0,1.0,8.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M3J,,YES,,PRIVATE,PADDOCK,4154468.0,NO,YES,NO,170  SENTINEL RD ,YES,YES,1967.0,YES,FREE,7,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
62414,NONE,,YES,NO,YES,NO,YES,Not Available,4.0,36.0,,,,,,,,YES,Recycling bins,YES,NO,,REPLACED,2010.0,HOT WATER,YES,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,1.0,0.0,6.0,NO,NO,"Underground Garage , Garage accessible thru buildg",M5P,,NO,GREENWIN CORP.,PRIVATE,IN GARAGE,4154948.0,NO,YES,NO,1560  BATHURST ST ,YES,YES,1926.0,,UNAVAILABLE,12,DOUBLE PANE,1926.0,,2017.0,,,,,,,,
62415,NONE,,YES,NO,NO,NO,NO,0 indoor parking spots and 10 outdoor parking spots,4.0,24.0,,,,,,,,YES,Green Bin / Organics,YES,NO,SOUTH EAST SIDE OF BUILDING,REPLACED,1984.0,HOT WATER,NO,YES,NO,NO,YES,8 AM - 10 PM,BASEMENT,YES,0.0,0.0,0.0,4.0,NO,YES,Surface Parking,M5P,,YES,AKELIUS CANADA INC,PRIVATE,SOUTH EAST SIDE OF BUILDING,4154954.0,NO,NO,NO,1510  BATHURST ST ,NO,,,,UNAVAILABLE,12,DOUBLE PANE,1933.0,,2017.0,,,,,,,,
62416,INDIVIDUAL UNITS,,YES,NO,YES,NO,YES,Not Available,4.0,32.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,REAR OF BUILDING,REPLACED,2013.0,HOT WATER,NO,YES,YES,YES,YES,24 HOURS,BASEMENT,NO,8.0,7.0,0.0,4.0,YES,YES,Surface Parking,M6C,,YES,IMOR CORPORATION INC.,PRIVATE,REAR OF BUILDING,4154964.0,NO,NO,NO,118  VAUGHAN RD ,NO,,,,UNAVAILABLE,12,SINGLE PANE,1929.0,,2017.0,,,,,,,,
62417,NONE,,YES,YES,YES,YES,NO,5 indoor parking spots and 0 outdoor parking spots,6.0,42.0,,,,,,REPLACED,,NO,Green Bin / Organics,YES,NO,NORTHWEST OF BUILDING,REPLACED,2017.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,GARAGE FLOOR LEVEL,NO,0.0,14.0,1.0,4.0,YES,YES,"Underground Garage , Garage accessible thru buildg",M6C,,NO,,PRIVATE,NORTHWEST OF BUILDING,4154977.0,NO,NO,NO,197  VAUGHAN RD ,NO,,,,UNAVAILABLE,12,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
62418,NONE,,YES,YES,YES,YES,YES,Not Available,7.0,135.0,"JAN 1, 2016",,,,,ORIGINAL,,NO,Recycling bins,YES,YES,,ORIGINAL,1972.0,HOT WATER,NO,YES,NO,NO,YES,8AM TO 10PM,BASEMENT,NO,2.0,10.0,2.0,10.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9V,,YES,METCAP LIVING MANAGEMENT INC,PRIVATE,BACK OF PROPERTY,4155456.0,NO,YES,NO,1915  MARTIN GROVE RD ,NO,,,YES,FREE,1,SINGLE PANE,1972.0,,2017.0,,,,,,,,
62419,NONE,,YES,YES,YES,YES,NO,Not Available,12.0,95.0,"JAN 5, 2018",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,,HOT WATER,YES,NO,NO,NO,YES,9 A.M. - 9 P.M.,2ND FLOOR,NO,0.0,0.0,2.0,8.0,NO,YES,"Underground Garage , Ground Level Garage , Surface Parking",M9V,NO,YES,COGIR MANAGEMENT CORPORATION,PRIVATE,BACK OF BUILDING,4155462.0,NO,NO,NO,41  GARFELLA DR ,YES,YES,,YES,FREE,1,DOUBLE PANE,1970.0,2018.0,2019.0,,,,,,,,
62420,NONE,,YES,YES,YES,YES,NO,10 indoor parking spots and 0 outdoor parking spots,3.0,16.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,BEHIND BUILDING,REPLACED,2014.0,HOT WATER,NO,YES,NO,YES,YES,ANY TIME OF DAY,BASEMENT,YES,0.0,10.0,0.0,6.0,YES,YES,Surface Parking,M8V,,YES,,PRIVATE,BEHIND BUILDING,4155472.0,NO,YES,NO,66  STATION RD ,NO,,,,UNAVAILABLE,3,THERMAL,1959.0,,2017.0,,,,,,,,
62421,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 14 outdoor parking spots,4.0,36.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOOR ,ORIGINAL,1961.0,HOT WATER,NO,YES,NO,NO,YES,24X7,BASEMENT ,YES,0.0,24.0,0.0,4.0,YES,YES,"Ground Level Garage , Surface Parking",M8V,15 LBS,YES,AIDERBROOK MANAGEMENT INC.,PRIVATE,OUTDOOR ,4155479.0,NO,YES,NO,2311  LAKE SHORE BLVD W,YES,YES,1961.0,,UNAVAILABLE,3,SINGLE PANE,1961.0,,2017.0,,,,,,,,
62422,NONE,,YES,YES,YES,YES,YES,Not Available,6.0,40.0,,,,,,,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,ORIGINAL,1970.0,HOT WATER,NO,YES,NO,NO,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,NO,2.0,0.0,2.0,10.0,YES,YES,,M5T,,YES,ATIKSON CO-OP,TCHC,BACK OF BUILDING,4156298.0,NO,NO,NO,170  VANAULEY WALK ,YES,YES,1970.0,,UNAVAILABLE,10,SINGLE PANE,1969.0,,2018.0,,,,,,,,
62423,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 10 outdoor parking spots,29.0,159.0,"JAN 29, 2020",,,,FULL MOD,REPLACED,YES,NO,Recycling bins,YES,YES,,ORIGINAL,1971.0,ELECTRIC,YES,YES,NO,YES,YES,9AM-10PM,GROUND FLOOR,NO,0.0,0.0,2.0,15.0,YES,YES,Underground Garage,M4C,,YES,PINEDALE PROPERTIES LTD,PRIVATE,REAR OF BUILDING,4156314.0,NO,YES,NO,11  CRESCENT PL ,YES,YES,1971.0,YES,PAID,19,SINGLE PANE,1971.0,2011.0,2017.0,,,,,,,,
62424,CENTRAL AIR,"Indoor pool , Child play area",YES,YES,YES,YES,NO,0 indoor parking spots and 12 outdoor parking spots,20.0,238.0,"OCT 16, 2015",PLAY TOWER WITH 2 SLIDES,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,FRONT OF THE BUILDING,ORIGINAL,1979.0,HOT WATER,NO,YES,NO,YES,YES,24/7,BASEMENT,NO,0.0,2.0,3.0,22.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Carport , Surface Parking",M1V,AS PER LEASE AGREEMENT,YES,,PRIVATE,FRONT OF BUILDING,4156342.0,NO,YES,NO,1600  SANDHURST CRCL ,YES,YES,1979.0,YES,PAID,23,DOUBLE PANE,1979.0,2015.0,2017.0,,,,,,,,
62425,NONE,"Outdoor pool , Child play area",YES,YES,YES,YES,NO,10 indoor parking spots and 8 outdoor parking spots,18.0,142.0,"JAN 29, 2015",PLAYGROUND FENCED,,,FULL MORDERNIZATION,REPLACED,NO,NO,Recycling bins,YES,YES,,REPLACED,2007.0,HOT WATER,YES,YES,NO,YES,YES,8:00AM - 10:30PM,BASEMENT,YES,0.0,0.0,2.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6B,,YES,KING'S COLLEGE MANAGEMENT LTD.,PRIVATE,OUTSIDE,4156365.0,NO,YES,NO,141  LYON CRT ,YES,YES,1967.0,YES,PAID,8,DOUBLE PANE,1967.0,2012.0,2017.0,,,,,,,,
62426,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,23.0,,,,,,,,YES,Recycling bins,YES,NO,,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,24,FIRST FLOORJ,NO,0.0,0.0,0.0,4.0,NO,YES,"Ground Level Garage , Surface Parking",M6M,,YES,,PRIVATE,OUTDOOR,4156367.0,NO,NO,NO,4  GREENBROOK DR ,NO,,,,FREE,5,DOUBLE PANE,1954.0,,2017.0,,,,,,,,
62427,CENTRAL AIR,Child play area,YES,YES,YES,YES,YES,Not Available,18.0,252.0,"DEC 12, 2012",SLIDES AND CLIMBING,,,CABS,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2002.0,FORCED AIR GAS,NO,YES,NO,YES,YES,24 HOURS,BASEMENT LEVEL,NO,0.0,1.0,3.0,26.0,NO,YES,"Underground Garage , Garage accessible thru buildg",M1W,,YES,PARK PROPERTY MANAGEMENT INC,PRIVATE,BACK OF BUILDING,4152865.0,NO,YES,NO,3050  PHARMACY AVE ,YES,YES,1974.0,YES,FREE,22,DOUBLE PANE,1974.0,2010.0,2017.0,,,,,,,,
62428,NONE,,YES,YES,YES,YES,YES,15 indoor parking spots and 0 outdoor parking spots,5.0,40.0,"JUL 15, 2016",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,NEXT TO RECYCLING BINS,ORIGINAL,1979.0,ELECTRIC,YES,YES,NO,NO,YES,24 HOURS,"BASEMENT, FACING SOUTH SIDE",NO,0.0,1.0,1.0,6.0,NO,NO,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1T,,YES,TAM O'SHANTER APARTMENTS,PRIVATE,,4152869.0,NO,NO,NO,2249  BIRCHMOUNT RD ,YES,YES,1979.0,NO,FREE,22,SINGLE PANE,1979.0,,2017.0,,,,,,,,
62429,NONE,"Indoor pool , Child play area , Sauna",YES,YES,YES,YES,YES,0 indoor parking spots and 12 outdoor parking spots,15.0,197.0,"OCT 10, 2014",SLIDES AND CLIMBING EQUIPMENT,,,CONTROL AND MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,PARKING LOT BACK OF BUILDING,REPLACED,2007.0,HOT WATER,NO,YES,YES,YES,YES,24 HOURS,BASEMENT,YES,0.0,1.0,3.0,20.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg",M1T,,YES,PARK PROPERTY MANAGEMENT INC,PRIVATE,BACK BUILDING,4152880.0,NO,YES,NO,50  CARABOB CRT ,YES,YES,1974.0,NO,FREE,22,DOUBLE PANE,1974.0,2010.0,2017.0,,,,,,,,
62430,CENTRAL AIR,Indoor recreation room,YES,YES,YES,YES,YES,29 indoor parking spots and 8 outdoor parking spots,8.0,133.0,"AUG 22, 2017",,,,,ORIGINAL,YES,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,REPLACED,2017.0,FORCED AIR GAS,YES,YES,NO,YES,YES,8AM-10 PM,GROUND FLOOR,NO,2.0,4.0,2.0,16.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6A,,YES,GREENWIN INC,SOCIAL HOUSING,BACK OF THE BUILDING,4154484.0,NO,NO,NO,525  LAWRENCE AVE W,YES,YES,1992.0,YES,FREE,8,DOUBLE PANE,1992.0,,2017.0,,,,,,,,
62431,NONE,,YES,NO,NO,YES,YES,3 indoor parking spots and 0 outdoor parking spots,3.0,10.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,REAR - EXTERIOR,REPLACED,2017.0,FORCED AIR GAS,NO,NO,NO,YES,YES,24 HRS.,BASEMENT,NO,1.0,8.0,0.0,2.0,,YES,"Ground Level Garage , Carport , Surface Parking",M6A,,NO,DEMONE REALTY GROUP INC.,PRIVATE,REAR - EXTERIOR,4154487.0,YES,YES,YES,777  LAWRENCE AVE W,NO,,,,UNAVAILABLE,8,DOUBLE PANE,1961.0,,2018.0,,,,,,,,
62432,NONE,,YES,YES,YES,YES,YES,Not Available,4.0,42.0,"JUL 17, 2017",,,,,ORIGINAL,,NO,Unknown,YES,NO,,REPLACED,1999.0,HOT WATER,NO,YES,NO,NO,YES,8AM-9PM,GROUND FLOOR,YES,42.0,58.0,1.0,6.0,NO,YES,"Ground Level Garage , Surface Parking",M6B,NONE,YES,EMBEE PROPERTIES LIMITED,PRIVATE,,4154491.0,NO,YES,NO,435  GLEN PARK AVE ,YES,YES,1962.0,YES,UNAVAILABLE,8,DOUBLE PANE,1962.0,,2017.0,,,,,,,,
62433,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,26.0,"APR 17, 2013",,,,,REPLACED,,NO,Green Bin / Organics,YES,NO,PARKING LOT,REPLACED,1992.0,HOT WATER,NO,YES,NO,NO,YES,8 AM - 10 PM,BASEMENT,YES,0.0,23.0,1.0,5.0,NO,YES,"Carport , Surface Parking",M6B,SMALL PETS ONLY,YES,,PRIVATE,PARKING LOT,4154492.0,NO,YES,NO,47  EUPHRASIA DR ,YES,NO,1958.0,YES,UNAVAILABLE,8,DOUBLE PANE,1958.0,2007.0,2017.0,,,,,,,,
62434,NONE,,NO,NO,NO,YES,NO,Not Available,3.0,15.0,,,,,,,,NO,Green Bin / Organics,YES,NO,PARKING LOT,ORIGINAL,1965.0,FORCED AIR GAS,NO,YES,NO,NO,YES,NO HOURS,FIRST FLOOR,YES,0.0,19.0,0.0,2.0,YES,NO,"Ground Level Garage , Surface Parking",M6A,,NO,,PRIVATE,,4154497.0,NO,NO,NO,1079  LAWRENCE AVE W,NO,,,,UNAVAILABLE,8,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
62435,NONE,,YES,YES,YES,YES,YES,0 indoor parking spots and 40 outdoor parking spots,9.0,175.0,"JUL 5, 2017",,,,,ORIGINAL,,YES,Green Bin / Organics,YES,YES,BACK SIDE GARBAGE ENCLOSURE,REPLACED,2012.0,HOT WATER,YES,YES,NO,NO,YES,6AM-11PM,FIRST FLOOR,YES,175.0,21.0,2.0,18.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6C,,YES,,PRIVATE,BACK SIDE GARBAGE ENCLOSURE,4154981.0,NO,YES,NO,120  RAGLAN AVE ,YES,YES,1963.0,NO,FREE,12,DOUBLE PANE,1963.0,,2017.0,,,,,,,,
62436,NONE,,YES,YES,YES,NO,NO,Not Available,4.0,22.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,SIDE OF BUILDING,REPLACED,2013.0,HOT WATER,NO,YES,NO,YES,NO,,,NO,0.0,0.0,0.0,,NO,YES,Surface Parking,M6C,,YES,CHEZ FIO INVESTMENTS INC.,PRIVATE,SIDE OF BUILDING,4154984.0,NO,NO,NO,180  VAUGHAN RD ,NO,,,,UNAVAILABLE,12,SINGLE PANE,1955.0,,2017.0,,,,,,,,
62437,NONE,,YES,NO,YES,YES,NO,0 indoor parking spots and 40 outdoor parking spots,3.0,75.0,,,,,,,,NO,Green Bin / Organics,YES,NO,BY2521 AND 2531 LAKE SHORE ,ORIGINAL,2008.0,HOT WATER,NO,YES,NO,NO,YES,12,BASEMENT OF THE BUILDING,YES,0.0,4.0,0.0,8.0,YES,YES,Surface Parking,M8V,,YES,CAPREIT LIMITED PARTNERSHIP,PRIVATE,THE NORTH SIDE OF THE BUILDING,4155497.0,NO,YES,NO,2537  LAKE SHORE BLVD W,NO,,,,FREE,3,DOUBLE PANE,1952.0,,2017.0,,,,,,,,
62438,NONE,,YES,NO,YES,NO,YES,Not Available,4.0,16.0,,,,,,,,NO,Green Bin / Organics,YES,NO,EAST SIDE OF BUILDING,REPLACED,1995.0,HOT WATER,NO,YES,NO,NO,YES,0900-2200 HOURS,"BASEMENT LEVEL, EAST END",NO,0.0,0.0,0.0,6.0,YES,YES,Surface Parking,M8V,ONLY CATS ARE ALLOWED,YES,,PRIVATE,,4155507.0,NO,YES,NO,2666  LAKE SHORE BLVD W,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1955.0,,2017.0,,,,,,,,
62439,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,13.0,,,,,,,,NO,Green Bin / Organics,YES,NO,LANEWAY,REPLACED,2007.0,HOT WATER,NO,YES,NO,NO,YES,8A-10P,BASEMENT,YES,0.0,0.0,0.0,18.0,NO,NO,"Carport , Surface Parking",M9A,25 POUNDS OR LESS,YES,,PRIVATE,LANEWAY,4156370.0,NO,YES,NO,5  BEXHILL CRT ,NO,,,,PAID,2,DOUBLE PANE,1952.0,,2017.0,,,,,,,,
62440,NONE,Child play area,YES,YES,YES,YES,YES,0 indoor parking spots and 25 outdoor parking spots,20.0,148.0,"JAN 14, 2016",SLIDE & SWING,,,,ORIGINAL,NO,NO,Green Bin / Organics,YES,YES,P1 - PARKING,REPLACED,2016.0,HOT WATER,YES,YES,NO,YES,YES,8A-10P M-F / NOON-4P S-S,BASEMENT,NO,0.0,0.0,2.0,14.0,NO,NO,"Underground Garage , Surface Parking",M3A,25 POUNDS OR LESS,YES,,PRIVATE,P1 - PARKING,4156386.0,NO,NO,NO,15  BROOKBANKS DR ,YES,YES,1967.0,NO,FREE,16,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
62441,NONE,"Indoor recreation room , Outdoor rec facilities , Child play area",YES,YES,YES,YES,YES,Not Available,5.0,126.0,"DEC 31, 2014",NEARBY SCHOOL WITH PARK,,,,ORIGINAL,YES,NO,Recycling bins,YES,NO,,ORIGINAL,1990.0,HOT WATER,NO,YES,NO,YES,YES,TBD,TBD,NO,3.0,4.0,2.0,12.0,YES,NO,Surface Parking,M1B,,YES,,TCHC,FRONT OF BUILDING,4152893.0,NO,NO,NO,1315  NEILSON RD ,YES,YES,1990.0,NO,BOTH,25,DOUBLE PANE,1991.0,,2017.0,,,,,,,,
62442,NONE,Indoor exercise room,YES,YES,YES,YES,YES,Not Available,5.0,68.0,"JAN 25, 2017",,"BIKES, TREADMILLS, ELIPTICALS",,,ORIGINAL,NO,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1993.0,HOT WATER,YES,YES,YES,YES,YES,8AM - 10 PM,MAIN FLOOR,NO,10.0,1.0,2.0,8.0,NO,NO,Surface Parking,M6S,NONE,YES,,SOCIAL HOUSING,COMPACTOR ROOM,4152905.0,NO,YES,NO,93  LAVINIA AVE ,YES,YES,1993.0,YES,FREE,4,DOUBLE PANE,1993.0,,2017.0,,,,,,,,
62443,NONE,,YES,NO,YES,NO,NO,Not Available,4.0,25.0,,,,,,,,NO,Green Bin / Organics,YES,NO,PARKING LOT,REPLACED,2009.0,HOT WATER,NO,YES,NO,NO,YES,9AM-10PM,BASEMENT,YES,0.0,0.0,0.0,6.0,YES,YES,"Carport , Surface Parking",M6S,,YES,,PRIVATE,PARKING LOT,4152908.0,NO,YES,NO,2  KENNEDY AVE ,YES,YES,1967.0,,UNAVAILABLE,4,DOUBLE PANE,1967.0,,2017.0,,,,,,,,
62444,NONE,,YES,YES,NO,YES,NO,Not Available,4.0,60.0,"JUN 7, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,NO,,ORIGINAL,1951.0,ELECTRIC,NO,YES,NO,NO,NO,,,NO,0.0,0.0,1.0,,NO,YES,,M6S,,YES,TRAVI INC.,PRIVATE,REAR OF THE BUILDING,4152909.0,NO,YES,NO,2001  BLOOR ST W,YES,YES,1930.0,YES,UNAVAILABLE,4,DOUBLE PANE,1930.0,,2017.0,,,,,,,,
